Year,Lake,Species,Grand_Total,Comments,Functional_Feeding_Group
1909,Erie,Lake Sturgeon,47,,Benthic invertivore
1909,Erie,Lake Whitefish,2597,,Benthic invertivore
1909,Erie,Northern Pike,2703,,Piscivore
1909,Erie,Sauger,,,Piscivore
1909,Erie,Suckers,,,Benthic omnivore
1909,Erie,Walleye,,,Piscivore
1909,Erie,Walleye and Blue Pike,1005,,Piscivore
1909,Erie,White Bass,,MI: Commercial fishing prohibited from 1909-1933.,Piscivore
1909,Erie,Yellow Perch,581,,Invertivore
1910,Erie,Blue Pike,,,Piscivore
1910,Erie,Burbot,,,Piscivore
1910,Erie,Carp,980,,Benthic omnivore
1910,Erie,Channel Catfish and Bullheads,30,,Benthic omnivore
1910,Erie,Cisco,6960,,Planktivore
1910,Erie,Freshwater Drum,,,Benthic invertivore
1910,Erie,Lake Sturgeon,61,,Benthic invertivore
1910,Erie,Lake Whitefish,1384,,Benthic invertivore
1910,Erie,Northern Pike,2156,,Piscivore
1910,Erie,Sauger,,,Piscivore
1910,Erie,Suckers,,,Benthic omnivore
1910,Erie,Walleye,,,Piscivore
1910,Erie,Walleye and Blue Pike,924,,Piscivore
1910,Erie,White Bass,,,Piscivore
1910,Erie,Yellow Perch,674,,Invertivore
1911,Erie,Blue Pike,,,Piscivore
1911,Erie,Burbot,,,Piscivore
1911,Erie,Carp,645,,Benthic omnivore
1911,Erie,Channel Catfish and Bullheads,50,,Benthic omnivore
1911,Erie,Cisco,9955,,Planktivore
1911,Erie,Freshwater Drum,,,Benthic invertivore
1911,Erie,Lake Sturgeon,68,,Benthic invertivore
1911,Erie,Lake Whitefish,1139,,Benthic invertivore
1911,Erie,Northern Pike,1099,,Piscivore
1911,Erie,Sauger,,,Piscivore
1911,Erie,Suckers,,,Benthic omnivore
1911,Erie,Walleye,,,Piscivore
1911,Erie,Walleye and Blue Pike,802,,Piscivore
1911,Erie,White Bass,,,Piscivore
1911,Erie,Yellow Perch,847,,Invertivore
1912,Erie,Blue Pike,,,Piscivore
1912,Erie,Burbot,,,Piscivore
1912,Erie,Carp,1618,,Benthic omnivore
1912,Erie,Channel Catfish and Bullheads,53,,Benthic omnivore
1912,Erie,Cisco,13956,,Planktivore
1912,Erie,Freshwater Drum,,,Benthic invertivore
1912,Erie,Lake Sturgeon,52,,Benthic invertivore
1912,Erie,Lake Whitefish,2922,,Benthic invertivore
1912,Erie,Northern Pike,1485,,Piscivore
1912,Erie,Sauger,,,Piscivore
1912,Erie,Suckers,137,,Benthic omnivore
1912,Erie,Walleye,134,,Piscivore
1912,Erie,Walleye and Blue Pike,975,,Piscivore
1912,Erie,White Bass,,,Piscivore
1912,Erie,Yellow Perch,1195,,Invertivore
1913,Erie,Blue Pike,5843,OH: Records cover only part of season.,Piscivore
1913,Erie,Bullheads,48,OH: Records cover only part of season.,Benthic omnivore
1913,Erie,Burbot,42,OH: Records cover only part of season.,Piscivore
1913,Erie,Carp,2172,OH: Records cover only part of season.,Benthic omnivore
1913,Erie,Channel Catfish,110,OH: Records cover only part of season.,Benthic omnivore
1913,Erie,Channel Catfish and Bullheads,188,OH: Records cover only part of season.,Benthic omnivore
1913,Erie,Cisco,11651,OH: records cover only part of fishing season,Planktivore
1913,Erie,Freshwater Drum,596,OH: Records cover only part of season.,Benthic invertivore
1913,Erie,Lake Sturgeon,48,OH:Records cover only part of the fishing season.,Benthic invertivore
1913,Erie,Lake Whitefish,3489,OH: records cover part of season,Benthic invertivore
1913,Erie,Northern Pike,2288,,Piscivore
1913,Erie,Sauger,1248,OH: Records cover only part of season.,Piscivore
1913,Erie,Suckers,465,OH: Records cover only part of season.,Benthic omnivore
1913,Erie,Walleye,696,OH: Records cover only part of season. ,Piscivore
1913,Erie,Walleye and Blue Pike,964,OH: Records cover only part of season. ,Piscivore
1913,Erie,White Bass,512,OH: Records cover only part of season.,Piscivore
1913,Erie,Yellow Perch,1824,OH: Records cover only part of season.,Invertivore
1914,Erie,Blue Pike,11859,,Piscivore
1914,Erie,Bullheads,185,,Benthic omnivore
1914,Erie,Burbot,109,,Piscivore
1914,Erie,Carp,13419,,Benthic omnivore
1914,Erie,Channel Catfish,584,,Benthic omnivore
1914,Erie,Channel Catfish and Bullheads,934,,Benthic omnivore
1914,Erie,Cisco,20344,,Planktivore
1914,Erie,Freshwater Drum,2282,,Benthic invertivore
1914,Erie,Lake Sturgeon,77,,Benthic invertivore
1914,Erie,Lake Whitefish,4126,,Benthic invertivore
1914,Erie,Northern Pike,2927,,Piscivore
1914,Erie,Sauger,4561,,Piscivore
1914,Erie,Suckers,1351,,Benthic omnivore
1914,Erie,Walleye,3598,,Piscivore
1914,Erie,Walleye and Blue Pike,15812,,Piscivore
1914,Erie,White Bass,478,,Piscivore
1914,Erie,Yellow Perch,3447,,Invertivore
1915,Erie,Blue Pike,23643,,Piscivore
1915,Erie,Bullheads,186,,Benthic omnivore
1915,Erie,Burbot,46,,Piscivore
1915,Erie,Carp,10519,,Benthic omnivore
1915,Erie,Channel Catfish,405,,Benthic omnivore
1915,Erie,Channel Catfish and Bullheads,629,,Benthic omnivore
1915,Erie,Cisco,21573,,Planktivore
1915,Erie,Freshwater Drum,2212,,Benthic invertivore
1915,Erie,Lake Sturgeon,76,,Benthic invertivore
1915,Erie,Lake Whitefish,2977,,Benthic invertivore
1915,Erie,Northern Pike,630,,Piscivore
1915,Erie,Sauger,4523,,Piscivore
1915,Erie,Suckers,1123,,Benthic omnivore
1915,Erie,Walleye,2443,,Piscivore
1915,Erie,White Bass,694,,Piscivore
